network,station_code,station_name,station_lat,station_lon,geos_lat_index,geos_lon_index,geos_grid_lat,geos_grid_lon,geos_distance_km,initialization_time,forecast_day,lead_hour,datetime_utc,datetime_local,observed_pm25,obs_n_obs,WIND,PS,Q500,Q850,QV10M,T10M,T500,T850,U10M,V10M,BCSMASS,DUSMASS25,OCSMASS,SO2SMASS,SO4SMASS,SSSMASS25,TOTEXTTAU,PM25,BC_MLPM25,GEOSPM25,NISMASS25
AQMS,AQMS06,AQMS06,17.96252778,102.6060556,52,139,18.0,102.5,11.965774,2021-08-01 00:00:00,1,4,2021-08-01 04:30:00,2021-08-01 11:30:00,992.466667,3,4.2582316398620605,98032.9609375,0.0053787231445312,0.0147552490234375,0.0182192642241716,303.0816955566406,270.2804870605469,291.53271484375,4.240250587463379,0.3909099698066711,0.1696207672357559,5.784386157989502,1.4861143827438354,0.8903952836990356,1.4242711067199707,1.5279511213302612,0.1943226307630539,13.29910602231102,13.29910602231102,12.115337371826172,
AQMS,AQMS07,AQMS07,19.90894444,102.1782222,60,138,20.0,102.188,10.171261,2021-08-01 00:00:00,1,16,2021-08-01 16:30:00,2021-08-01 23:30:00,27.533333,3,1.3925442695617676,93192.671875,0.0059967078268527,0.014923145994544,0.0184330437332391,298.834716796875,270.5678405761719,293.52203369140625,0.7484356164932251,1.1743184328079224,0.2085084915161132,5.6606950759887695,2.226454496383667,9.007635116577148,3.4707372188568115,0.5029505491256714,0.2256352752447128,19.628428225108223,19.628428225108223,15.1520357131958,
AQMS,AQMS09,AQMS09,18.10619444,102.6635278,52,140,18.0,102.812,19.684559,2021-08-01 00:00:00,1,16,2021-08-01 16:30:00,2021-08-01 23:30:00,26.3,3,3.995182037353515,98216.671875,0.0053482092916965,0.0143890883773565,0.0189213249832391,298.709716796875,269.9740905761719,293.20953369140625,3.6007304191589355,1.7309590578079224,0.5175093412399292,12.558302879333496,5.034974098205566,3.5215635299682617,1.5571603775024414,1.1241354942321775,0.2180669158697128,18.78723328671329,18.78723328671329,25.40399742126465,
AQMS,AQMS10,AQMS10,18.05336111,102.7633333,52,140,18.0,102.812,7.888797,2021-08-01 00:00:00,1,16,2021-08-01 16:30:00,2021-08-01 23:30:00,9.333333,3,3.995182037353515,98216.671875,0.0053482092916965,0.0143890883773565,0.0189213249832391,298.709716796875,269.9740905761719,293.20953369140625,3.6007304191589355,1.7309590578079224,0.5175093412399292,12.558302879333496,5.034974098205566,3.5215635299682617,1.5571603775024414,1.1241354942321775,0.2180669158697128,18.78723328671329,18.78723328671329,25.40399742126465,
AQMS,AQMS06,AQMS06,17.96252778,102.6060556,52,139,18.0,102.5,11.965774,2021-08-01 00:00:00,1,20,2021-08-01 19:30:00,2021-08-02 02:30:00,992.6,3,2.063462734222412,97855.8515625,0.0058441283181309,0.0140381762757897,0.0184635296463966,298.3755187988281,269.947021484375,292.9671936035156,2.0351154804229736,0.340856671333313,0.3397074341773987,16.44366455078125,3.517942428588867,2.3501343727111816,2.081058979034424,2.542947292327881,0.2463172674179077,16.823731053391057,16.823731053391057,28.52007102966309,
AQMS,AQMS09,AQMS09,18.10619444,102.6635278,52,140,18.0,102.812,19.684559,2021-08-01 00:00:00,1,20,2021-08-01 19:30:00,2021-08-02 02:30:00,12.6,3,2.9773335456848145,98111.8515625,0.0057907225564122,0.0144654223695397,0.0184635296463966,297.9380187988281,270.009521484375,292.4046936035156,2.9189045429229736,0.586950421333313,0.5357035398483276,15.104887962341309,5.260534286499023,5.085894584655762,2.015575170516968,2.022716522216797,0.2538856267929077,19.289127721445222,19.289127721445222,29.9036865234375,
AQMS,AQMS06,AQMS06,17.96252778,102.6060556,52,139,18.0,102.5,11.965774,2021-08-02 00:00:00,1,2,2021-08-02 01:30:00,2021-08-02 08:30:00,992.566667,3,2.7524983882904053,98063.3125,0.00531005859375,0.0131835946813225,0.0179141331464052,300.1924743652344,270.11376953125,292.7044677734375,2.749408721923828,-0.1303790807723999,0.340605765581131,14.959368705749512,3.707100391387939,2.6229827404022217,2.2155303955078125,2.8630893230438232,0.2329694777727127,17.41242201964702,17.41242201964702,27.88219833374023,
AQMS,AQMS06,AQMS06,17.96252778,102.6060556,52,139,18.0,102.5,11.965774,2021-08-02 00:00:00,1,4,2021-08-02 04:30:00,2021-08-02 11:30:00,992.433333,3,4.1811676025390625,98052.0078125,0.0055313110351562,0.0138397244736552,0.0178226809948682,301.74896240234375,270.111083984375,292.63623046875,4.076664447784424,-0.9289627075195312,0.1637090593576431,9.502400398254396,1.48429536819458,0.9858922362327576,1.3915327787399292,1.1677912473678589,0.1753001064062118,15.583544885947385,15.583544885947385,15.418990135192873,
AQMS,AQMS07,AQMS07,19.90894444,102.1782222,60,138,20.0,102.188,10.171261,2021-08-02 00:00:00,1,4,2021-08-02 04:30:00,2021-08-02 11:30:00,20.6,3,2.1924471855163574,93316.0078125,0.0062789916992187,0.0155181912705302,0.0174564700573682,297.06146240234375,270.579833984375,291.54248046875,0.9946331977844238,1.9538497924804688,0.3460627198219299,52.910762786865234,3.608875036239624,12.80568504333496,6.286433219909668,2.2737367153167725,0.447516918182373,28.712870977633475,28.712870977633475,70.67037963867188,
AQMS,AQMS07,AQMS07,19.90894444,102.1782222,60,138,20.0,102.188,10.171261,2021-08-02 00:00:00,1,8,2021-08-02 07:30:00,2021-08-02 14:30:00,9.6,3,1.5086185932159424,93123.828125,0.0061721806414425,0.015335108153522,0.0172428525984287,297.9693908691406,270.5357666015625,292.4898681640625,0.4275143146514892,1.4467761516571045,0.3224161267280578,51.68840408325195,3.0049707889556885,9.633367538452148,5.653494358062744,2.0518200397491455,0.3640502989292145,26.99484738816739,26.99484738816739,67.2451400756836,
AQMS,AQMS07,AQMS07,19.90894444,102.1782222,60,138,20.0,102.188,10.171261,2021-08-02 00:00:00,1,16,2021-08-02 16:30:00,2021-08-02 23:30:00,21.8,3,0.8077403903007507,93257.65625,0.0058060237206518,0.015061137266457,0.0173347666859626,297.84674072265625,270.59576416015625,292.6654052734375,0.1753512620925903,0.7884773015975952,0.3610776364803314,22.3226375579834,5.1077680587768555,10.50648307800293,3.561720132827759,0.8922145366668701,0.2212053537368774,27.64264704545454,27.64264704545454,37.66727828979492,
AQMS,AQMS09,AQMS09,18.10619444,102.6635278,52,140,18.0,102.812,19.684559,2021-08-02 00:00:00,1,16,2021-08-02 16:30:00,2021-08-02 23:30:00,22.066667,3,2.423426628112793,98281.65625,0.0059814997948706,0.014511820860207,0.0192268565297126,297.97174072265625,270.25201416015625,291.9154052734375,1.2158786058425903,2.0963387489318848,0.8722136616706848,10.171789169311523,7.9308390617370605,5.849869728088379,1.6063064336776731,0.9422367215156556,0.2761369943618774,18.529673243423243,18.529673243423243,28.47041893005371,
AQMS,AQMS06,AQMS06,17.96252778,102.6060556,52,139,18.0,102.5,11.965774,2021-08-02 00:00:00,1,20,2021-08-02 19:30:00,2021-08-03 02:30:00,992.6,3,2.095325469970703,97933.5390625,0.0060044289566576,0.0147596765309572,0.0180671382695436,297.5799865722656,270.3550720214844,292.145263671875,2.0764410495758057,0.2806804180145263,0.3942921459674835,17.927959442138672,4.554842948913574,2.612068891525269,1.6992303133010864,1.6116249561309814,0.2458385080099105,18.695262535797536,18.695262535797536,30.46903610229492,
AQMS,AQMS09,AQMS09,18.10619444,102.6635278,52,140,18.0,102.812,19.684559,2021-08-02 00:00:00,1,22,2021-08-02 22:30:00,2021-08-03 05:30:00,25.833333,3,1.7536256313323977,98259.625,0.0060120210982859,0.014088649302721,0.0181890167295932,297.3853454589844,270.1741027832031,292.1741638183594,1.694011926651001,-0.4533505141735077,0.6012094616889954,17.316787719726562,6.432180404663086,8.28003978729248,1.9209235906600952,1.6843847036361694,0.2493653446435928,20.1299989047064,20.1299989047064,33.82157516479492,
AQMS,AQMS07,AQMS07,19.90894444,102.1782222,60,138,20.0,102.188,10.171261,2021-08-03 00:00:00,1,2,2021-08-03 01:30:00,2021-08-03 08:30:00,17.9,3,1.3055293560028076,93422.59375,0.0057830810546875,0.0149993896484375,0.0173344351351261,296.47332763671875,270.13995361328125,291.44476318359375,0.953730583190918,0.8915183544158936,0.3196873962879181,24.185283660888672,4.292815208435059,10.433723449707031,4.380137920379639,1.0131771564483645,0.3591213822364807,26.349817042679547,26.349817042679547,39.26790618896485,
AQMS,AQMS09,AQMS09,18.10619444,102.6635278,52,140,18.0,102.812,19.684559,2021-08-03 00:00:00,1,8,2021-08-03 07:30:00,2021-08-03 14:30:00,11.966667,3,4.258347034454346,98141.28125,0.0054779052734375,0.0151825034990906,0.0182195398956537,303.6130065917969,270.8393249511719,292.1802673339844,3.992992639541626,-1.4797059297561646,0.1743958741426468,15.22130298614502,1.426093339920044,1.2933014631271362,1.2662007808685305,1.209627985954285,0.2016774266958236,16.266997712842713,16.266997712842713,20.913320541381836,
AQMS,AQMS07,AQMS07,19.90894444,102.1782222,60,138,20.0,102.188,10.171261,2021-08-03 00:00:00,1,14,2021-08-03 13:30:00,2021-08-03 20:30:00,18.366667,3,1.0036139488220217,93241.5,0.0056686969473958,0.0151367299258708,0.0186772793531417,300.0782470703125,270.97467041015625,294.0887756347656,0.6873368620872498,0.7313064336776733,0.121419221162796,15.686964988708496,1.960882782936096,6.461050510406494,1.5591514110565186,0.2628442049026489,0.1684859991073608,19.07957451076701,19.07957451076701,21.74464988708496,
AQMS,AQMS07,AQMS07,19.90894444,102.1782222,60,138,20.0,102.188,10.171261,2021-08-03 00:00:00,1,22,2021-08-03 22:30:00,2021-08-04 05:30:00,4.566667,3,0.834038257598877,93374.421875,0.0051727616228163,0.0154572818428277,0.0173650905489921,296.76226806640625,270.7893371582031,291.8815002441406,0.637755274772644,0.5374830365180969,0.382451444864273,14.799297332763672,7.741703510284424,12.209056854248049,2.2595343589782715,0.3374235033988952,0.2676684260368347,23.82532734154734,23.82532734154734,32.561100006103516,
AQMS,AQMS09,AQMS09,18.10619444,102.6635278,52,140,18.0,102.812,19.684559,2021-08-03 00:00:00,1,22,2021-08-03 22:30:00,2021-08-04 05:30:00,19.133333,3,1.821133017539978,98366.421875,0.00531772011891,0.0146638248115777,0.0181890651583671,297.19976806640625,270.7268371582031,291.4752502441406,1.762755274772644,0.4574049115180969,0.9531593322753906,24.709152221679688,9.9972505569458,11.277734756469728,2.76157546043396,1.7480498552322388,0.2315355986356735,20.446106262903765,20.446106262903765,49.202579498291016,
