location_id,location_name,sensor_id,sensor_name,latitude,longitude,country,provider,owner,instruments,monitor
225652,Public Park to commemorate the sixth anniversary of His Majesty the King,16312859,pm25 µg/m³,13.697252,100.497185,TH,Air4Thai,Unknown Governmental Organization,Government Monitor; Government Monitor,True
225653,Chokchai Police Station,1304128,pm25 µg/m³,13.7954248,100.5930298,TH,Air4Thai,Unknown Governmental Organization,Government Monitor,True
225654,"Environment Agency Section 13, Chonburi",16312672,pm25 µg/m³,13.35461667,100.9792167,TH,Air4Thai,Unknown Governmental Organization,Government Monitor; Government Monitor,True
225654,"Environment Agency Section 13, Chonburi",1304209,pm25 µg/m³,13.35461667,100.9792167,TH,Air4Thai,Unknown Governmental Organization,Government Monitor; Government Monitor,True
225655,"Meteorological Staions, Lamphun",16312744,pm25 µg/m³,18.567194,99.038639,TH,Air4Thai,Unknown Governmental Organization,Government Monitor; Government Monitor,True
225655,"Meteorological Staions, Lamphun",1304245,pm25 µg/m³,18.567194,99.038639,TH,Air4Thai,Unknown Governmental Organization,Government Monitor; Government Monitor,True
225656,"Bang Sue District Office, Bangkok",1304256,pm25 µg/m³,13.809596,100.537883,TH,Air4Thai,Unknown Governmental Organization,Government Monitor; Government Monitor,True
225656,"Bang Sue District Office, Bangkok",16312588,pm25 µg/m³,13.809596,100.537883,TH,Air4Thai,Unknown Governmental Organization,Government Monitor; Government Monitor,True
225657,"child development centers, Betong",1304088,pm25 µg/m³,5.763873,101.067903,TH,Air4Thai,Unknown Governmental Organization,Government Monitor; Government Monitor,True
225657,"child development centers, Betong",16312951,pm25 µg/m³,5.763873,101.067903,TH,Air4Thai,Unknown Governmental Organization,Government Monitor; Government Monitor,True
225658,Bueng Kan District Office,1304193,pm25 µg/m³,18.358249,103.652055,TH,Air4Thai,Unknown Governmental Organization,Government Monitor,True
225659,Kalasin Provincial Natural Resources and Environment Office,1304086,pm25 µg/m³,16.442904,103.535221,TH,Air4Thai,Unknown Governmental Organization,Government Monitor,True
225660,"Chaloem Phrakiat Rama 9 Park Min buri, Bangkok",1304438,pm25 µg/m³,13.813578,100.73208,TH,Air4Thai,Unknown Governmental Organization,Government Monitor; Government Monitor,True
225660,"Chaloem Phrakiat Rama 9 Park Min buri, Bangkok",16312635,pm25 µg/m³,13.813578,100.73208,TH,Air4Thai,Unknown Governmental Organization,Government Monitor; Government Monitor,True
225661,"Nong Thin Public Park, Nong Khai",16312806,pm25 µg/m³,17.877479999999995,102.728925,TH,Air4Thai,Unknown Governmental Organization,Government Monitor; Government Monitor,True
225661,"Nong Thin Public Park, Nong Khai",1304186,pm25 µg/m³,17.877479999999995,102.728925,TH,Air4Thai,Unknown Governmental Organization,Government Monitor; Government Monitor,True
225663,Buriram City Hall,1304140,pm25 µg/m³,14.945452000000001,103.10589600000002,TH,Air4Thai,Unknown Governmental Organization,Government Monitor; Government Monitor,True
225663,Buriram City Hall,16312613,pm25 µg/m³,14.945452000000001,103.10589600000002,TH,Air4Thai,Unknown Governmental Organization,Government Monitor; Government Monitor,True
225664,Chaiyaphum City Hall,1304361,pm25 µg/m³,15.808061,102.031993,TH,Air4Thai,Unknown Governmental Organization,Government Monitor,True
225666,"Phayao Provincial, Phayao",1304315,pm25 µg/m³,19.200226,99.893048,TH,Air4Thai,Unknown Governmental Organization,Government Monitor; Government Monitor,True
225666,"Phayao Provincial, Phayao",16312826,pm25 µg/m³,19.200226,99.893048,TH,Air4Thai,Unknown Governmental Organization,Government Monitor; Government Monitor,True
225667,Mahaisawan Intersection,16312742,pm25 µg/m³,13.70515,100.48465,TH,Air4Thai,Unknown Governmental Organization,Government Monitor; Government Monitor,True
225667,Mahaisawan Intersection,1304114,pm25 µg/m³,13.70515,100.48465,TH,Air4Thai,Unknown Governmental Organization,Government Monitor; Government Monitor,True
225668,"Bang Kapi District Office, Bangkok",1304426,pm25 µg/m³,13.766478,100.647785,TH,Air4Thai,Unknown Governmental Organization,Government Monitor; Government Monitor,True
225668,"Bang Kapi District Office, Bangkok",16312581,pm25 µg/m³,13.766478,100.647785,TH,Air4Thai,Unknown Governmental Organization,Government Monitor; Government Monitor,True
225669,"City Hall, Chiangmai",16312652,pm25 µg/m³,18.840732,98.96978,TH,Air4Thai,Unknown Governmental Organization,Government Monitor; Government Monitor,True
225669,"City Hall, Chiangmai",1304220,pm25 µg/m³,18.840732,98.96978,TH,Air4Thai,Unknown Governmental Organization,Government Monitor; Government Monitor,True
225671,"Khlong Sam Wa District Office, Bangkok",1304229,pm25 µg/m³,13.859911,100.704002,TH,Air4Thai,Unknown Governmental Organization,Government Monitor; Government Monitor,True
225671,"Khlong Sam Wa District Office, Bangkok",16312720,pm25 µg/m³,13.859911,100.704002,TH,Air4Thai,Unknown Governmental Organization,Government Monitor; Government Monitor,True
225672,Suan Sayam-Ram Intra Intersection,1304078,pm25 µg/m³,13.813844,100.686594,TH,Air4Thai,Unknown Governmental Organization,Government Monitor; Government Monitor,True
225672,Suan Sayam-Ram Intra Intersection,16312914,pm25 µg/m³,13.813844,100.686594,TH,Air4Thai,Unknown Governmental Organization,Government Monitor; Government Monitor,True
