network,station_code,initialization_time_utc,datetime_utc,observed_pm25,obs_n_obs,GEOSPM25,forecast_day,station_name
Lao PDR AQMS,AQMS09,2020-02-13 00:00:00+00:00,2020-02-13 01:30:00+00:00,90.466667,3,50.40612030029297,1,Xaythany
Lao PDR AQMS,AQMS06,2020-02-13 00:00:00+00:00,2020-02-13 04:30:00+00:00,61.366667,3,59.81991958618164,1,Vientiane
Lao PDR AQMS,AQMS09,2020-02-13 00:00:00+00:00,2020-02-13 04:30:00+00:00,62.2,3,58.09283828735352,1,Xaythany
Lao PDR AQMS,AQMS06,2020-02-13 00:00:00+00:00,2020-02-13 07:30:00+00:00,52.233333,3,35.253639221191406,1,Vientiane
Lao PDR AQMS,AQMS09,2020-02-13 00:00:00+00:00,2020-02-13 07:30:00+00:00,37.866667,3,44.650630950927734,1,Xaythany
Lao PDR AQMS,AQMS06,2020-02-13 00:00:00+00:00,2020-02-13 10:30:00+00:00,39.0,3,25.800779342651367,1,Vientiane
Lao PDR AQMS,AQMS09,2020-02-13 00:00:00+00:00,2020-02-13 10:30:00+00:00,46.1,3,31.47870826721191,1,Xaythany
Lao PDR AQMS,AQMS07,2020-02-13 00:00:00+00:00,2020-02-13 13:30:00+00:00,91.533333,3,21.923097610473633,1,Luang Prabang
Lao PDR AQMS,AQMS09,2020-02-13 00:00:00+00:00,2020-02-13 13:30:00+00:00,92.166667,3,32.127899169921875,1,Xaythany
Lao PDR AQMS,AQMS06,2020-02-13 00:00:00+00:00,2020-02-13 16:30:00+00:00,48.2,3,34.48478317260742,1,Vientiane
Lao PDR AQMS,AQMS07,2020-02-13 00:00:00+00:00,2020-02-13 16:30:00+00:00,182.5,3,24.497711181640625,1,Luang Prabang
Lao PDR AQMS,AQMS09,2020-02-13 00:00:00+00:00,2020-02-13 16:30:00+00:00,45.666667,3,32.32455062866211,1,Xaythany
Lao PDR AQMS,AQMS06,2020-02-13 00:00:00+00:00,2020-02-13 19:30:00+00:00,46.7,3,39.379512786865234,1,Vientiane
Lao PDR AQMS,AQMS07,2020-02-13 00:00:00+00:00,2020-02-13 19:30:00+00:00,135.3,3,29.439870834350582,1,Luang Prabang
Lao PDR AQMS,AQMS09,2020-02-13 00:00:00+00:00,2020-02-13 19:30:00+00:00,44.666667,3,46.08735275268555,1,Xaythany
Lao PDR AQMS,AQMS06,2020-02-13 00:00:00+00:00,2020-02-13 22:30:00+00:00,49.166667,3,48.208927154541016,1,Vientiane
Lao PDR AQMS,AQMS07,2020-02-13 00:00:00+00:00,2020-02-13 22:30:00+00:00,121.333333,3,34.44100570678711,1,Luang Prabang
Lao PDR AQMS,AQMS09,2020-02-13 00:00:00+00:00,2020-02-13 22:30:00+00:00,51.8,3,52.96890640258789,1,Xaythany
Lao PDR AQMS,AQMS06,2020-02-14 00:00:00+00:00,2020-02-14 01:30:00+00:00,58.166667,3,31.308650970458984,1,Vientiane
Lao PDR AQMS,AQMS07,2020-02-14 00:00:00+00:00,2020-02-14 01:30:00+00:00,198.433333,3,36.96907424926758,1,Luang Prabang
Lao PDR AQMS,AQMS09,2020-02-14 00:00:00+00:00,2020-02-14 01:30:00+00:00,61.7,3,37.560020446777344,1,Xaythany
Lao PDR AQMS,AQMS07,2020-02-14 00:00:00+00:00,2020-02-14 04:30:00+00:00,43.2,3,21.87459373474121,1,Luang Prabang
Lao PDR AQMS,AQMS09,2020-02-14 00:00:00+00:00,2020-02-14 04:30:00+00:00,51.266667,3,24.037466049194336,1,Xaythany
Lao PDR AQMS,AQMS06,2020-02-14 00:00:00+00:00,2020-02-14 07:30:00+00:00,27.7,3,16.027700424194336,1,Vientiane
Lao PDR AQMS,AQMS09,2020-02-14 00:00:00+00:00,2020-02-14 07:30:00+00:00,35.6,3,19.442033767700195,1,Xaythany
Lao PDR AQMS,AQMS06,2020-02-14 00:00:00+00:00,2020-02-14 10:30:00+00:00,31.933333,3,17.861600875854492,1,Vientiane
Lao PDR AQMS,AQMS07,2020-02-14 00:00:00+00:00,2020-02-14 10:30:00+00:00,44.3,3,57.08315658569336,1,Luang Prabang
Lao PDR AQMS,AQMS09,2020-02-14 00:00:00+00:00,2020-02-14 10:30:00+00:00,38.8,3,17.86278533935547,1,Xaythany
Lao PDR AQMS,AQMS06,2020-02-14 00:00:00+00:00,2020-02-14 13:30:00+00:00,41.166667,3,23.90104866027832,1,Vientiane
Lao PDR AQMS,AQMS07,2020-02-14 00:00:00+00:00,2020-02-14 13:30:00+00:00,92.033333,3,64.34100341796875,1,Luang Prabang
Lao PDR AQMS,AQMS09,2020-02-14 00:00:00+00:00,2020-02-14 13:30:00+00:00,91.066667,3,40.65848922729492,1,Xaythany
Lao PDR AQMS,AQMS06,2020-02-14 00:00:00+00:00,2020-02-14 16:30:00+00:00,46.766667,3,44.30595779418945,1,Vientiane
