path,size_bytes,sha256,source,training_purpose,redistribution_status
data/module2/pcd/th44t.csv,11270,050ba723b78a69d3fece2dc62727f1a79290ee38408ef8000f36094dd43dcf5b,Thai PCD,Ground-station QA/QC,confirm before public release
data/module2/pcd/th46t.csv,18866,ddb1e1ee61638959438b4668f3f53bfe14186bdb6c39b73781830165da8df085,Thai PCD,Ground-station QA/QC,confirm before public release
data/module2/pcd/th47t.csv,14489,22a90afa6e940d12e02f9bdeaf6d21207cf24490caec2364917dda36e91af19f,Thai PCD,Ground-station QA/QC,confirm before public release
data/module2/pcd/th50t.csv,11973,20227e18ce93b1db856314abdf601af0a5f9a1ebf704231b8a4aab212839e422,Thai PCD,Ground-station QA/QC,confirm before public release
data/module2/pcd/th52t.csv,12658,77c6285923844d197d1667268bd6c06fa0889ad5c34b9e0ea9f306f615f53476,Thai PCD,Ground-station QA/QC,confirm before public release
data/module2/pcd/th53t.csv,12147,37a1bff89a1ed390eadb7b848a99cb3d9d1459d52a78128d23cc6e77e2a4ac8a,Thai PCD,Ground-station QA/QC,confirm before public release
data/module2/pcd/th54t.csv,14170,c8cdb3f19c078eb4d3db40928b933bfa231fdd7b8a16795a93c832ad1a1e00d1,Thai PCD,Ground-station QA/QC,confirm before public release
data/module2/pcd/th57t.csv,16673,cc563841b2fe9eb44f5eeda872a24a976bf09b085d42c578a5704bd4e33ab37f,Thai PCD,Ground-station QA/QC,confirm before public release
data/module2/pcd/th58t.csv,17009,6fe216df60dc93c8278951fa27b69d9d250c01587a38a837bef028963e730096,Thai PCD,Ground-station QA/QC,confirm before public release
data/module2/pcd/th59t.csv,15329,ffe800003f335463a0927ff416bfd0da60a5d80db27ea09cacd7378f530c9a45,Thai PCD,Ground-station QA/QC,confirm before public release
data/module2/pcd/th60t.csv,15156,7ffd250f1c70f1ae8cc6448bc2cd7c768b727cfc0aae7802ed0e4bc35c8c2e1c,Thai PCD,Ground-station QA/QC,confirm before public release
data/module2/pcd/th61t.csv,13652,962d7aa86a2ac8841686b11937c10140d7607a37d008eb241b2de0380d4719e4,Thai PCD,Ground-station QA/QC,confirm before public release
data/module2/pcd/th62t.csv,11388,229087d8c1c9cad0428753eae2cd53ac6d548ade69d953f54fa49f6f6bc71fef,Thai PCD,Ground-station QA/QC,confirm before public release
data/module2/pcd/th63t.csv,11763,50b6488137925f18e84fc19c8bbd72fdb3b74798e8f5546bda74c840856313d8,Thai PCD,Ground-station QA/QC,confirm before public release
data/module2/pcd/th67t.csv,12142,70c1d8a7916ef380300f9b67af21af64599eb89564b1494b2a9e08198912a9c0,Thai PCD,Ground-station QA/QC,confirm before public release
data/module2/pcd/th68t.csv,12977,3454224dedafcf2dda37db9f10a033f1be4ca8f4f51fafb47634dc411239498a,Thai PCD,Ground-station QA/QC,confirm before public release
data/module2/pcd/th69t.csv,12978,b300266bc983c1f2ba62e98d281ddf5ff1c14ff46d85d3fbb11885bde0803299,Thai PCD,Ground-station QA/QC,confirm before public release
data/module2/pcd/th70t.csv,13146,792be3c2ed294f401362dd415e6fffcd074cfd375c2d1d61192953d147b868e0,Thai PCD,Ground-station QA/QC,confirm before public release
data/module2/pcd/th71t.csv,13649,ebea8454ebaffa44a630d3e18f787bda2fa4f6ac17dd4f0828ca9bb270435107,Thai PCD,Ground-station QA/QC,confirm before public release
data/module2/pcd/th72t.csv,12809,48c19323c4afc6b31ec84bb43b6ccec66912c015ef58f17ebe60e868a96f2037,Thai PCD,Ground-station QA/QC,confirm before public release
data/module2/pcd/th73t.csv,11425,c4e9d55cc6f992e14e7ee154dbe9f763c6ba5be467c8d0af81d622dc4a3a677b,Thai PCD,Ground-station QA/QC,confirm before public release
data/module2/pcd/th74t.csv,12476,e27606e65a4d34a6102817fa4b0ee4ebc5f2142a555f787856a996fe68da6429,Thai PCD,Ground-station QA/QC,confirm before public release
data/module2/pcd/th75t.csv,11938,967d3fb2f2125f4d8becfff755a1c7992cafaa33b0f311a5ae849207b33e50be,Thai PCD,Ground-station QA/QC,confirm before public release
data/module2/pcd/th76t.csv,14668,e0680e1c84a9fc5183964d12da29fbe5bee36b488cadf79c47171960a48800d9,Thai PCD,Ground-station QA/QC,confirm before public release
data/module2/pcd/th77t.csv,14153,80db1f2d861ae8f89377f4f20e9dbb0ab1c077c9f6c7d39a1e54925977bcec6d,Thai PCD,Ground-station QA/QC,confirm before public release
data/module2/pcd/th78t.csv,12966,ef85defb76bff605043241199a6af3b900db2a34b9df53a60b62047a9407658d,Thai PCD,Ground-station QA/QC,confirm before public release
data/module2/pcd/th79t.csv,13977,0b8fdaa6727cd827a125955dc3c4ca8224ab4998bf24633b573aa66a953a814d,Thai PCD,Ground-station QA/QC,confirm before public release
data/module2/pcd/th80t.csv,10545,1166d89244e67e8e80ba5b571daff0f04b6aba6e0df91e759873f1b528f5c552,Thai PCD,Ground-station QA/QC,confirm before public release
